Name,Lifetime[5],Nationality,Notable as,Notes[6]
Greg Harris,b. 1955,American,Politician,G[95]
Jeremy O. Harris,b. circa 1988/1989,American,"Playwright, actor",G[96]
Kwame Harris,b. 1982,Jamaican-American,Football player,G[97]
Sam Harris,b. 1961,American,"Pop musician, actor",G[98]
Neil Patrick Harris,b. 1973,American,Actor,G[99]
Jane Ellen Harrison,1850–1928,English,"Classical scholar, linguist",B[100]
Jessica Harrison,b. 1977,English-French,Triathlete,L[101]
Lou Harrison,1917–2003,American,20th century classical composer,G[102]
Randy Harrison,b. 1977,American,Actor,G[103]
Todd Harrity,b. 1990,American,Squash player,G[104]
Ellen Hart,b. 1949,American,Author,L[105]
Grant Hart,b. 1961,American,Rock musician (Hüsker Dü),B[106]
Hannah Hart,b. 1986,American,Internet comedian,L[107]
Lorenz Hart,1895–1943,American,Lyricist; half of Broadway songwriting team Rodgers and Hart,G[108]
Derek Hartley,b. 1969,American,TV show host,G[109]
L. P. Hartley,1895–1972,English,"Novelist, short story writer",G[110]
Marsden Hartley,1877–1943,American,"Painter, poet",G[111]
Naomi Hartley,b. 2001,English,Footballer,L[112]
Nina Hartley,b. 1959,American,Pornographic actor,B[113]
Dan Hartman,1950–1994,American,"Singer-songwriter, musician, producer",G[114]
Andrew Harvey,b. 1952,British,Spiritual scholar,G[115]
Ben Harvey,b. ?[5],American,DJ,G[116]
Claire Harvey,b. 1974,British,Paralympic sportsperson,L[117]
Donald Harvey,1952–2017,American,Serial killer,G[118]
Ian Harvey,1914–1987,English,MP,G[119]
Jonathan Harvey,b. 1968,English,Playwright,G[48]
Laurence Harvey,1928–1973,Lithuanian-South African,Actor,G[120]
Patrick Harvie,b. 1973,Scottish,Politician,B[121]
Don Harwin,b. 1964,Australian,Politician,G[122]
Sadao Hasegawa,1950–1999,Japanese,Graphic artist,G[123]
Ryōsuke Hashiguchi,b. 1963,Japanese,Film director,G[124]
Bilal Hassani,b. 1999,French,Pop singer,G[125]
O. E. Hasse,1903–1978,German,Actor,G[126]
Kaj Hasselriis,b. 1974,Canadian,"Politician, journalist",G[127]
Beatrice Hastings,1879–1943,English,Writer,B[128]
Bill Hastings,b. 1957,New Zealand,Chief Censor of New Zealand,G[129]
Richard Hatch,b. 1961,American,Reality show contestant,G[130]
Richard Hatfield,1931–1991,Canadian,Politician,G[131]
Manos Hatzidakis,1925–1994,Greek,Composer,G[132]
Minas Hatzisavvas,1948–2015,Greek,Actor,G[133]
Miloš Havel,1899–1968,Czech,"Entrepreneur, filmmaker",G[134]
Mireille Havet,1898–1932,French,Writer,L[135]
Kyle Hawkins,b. 1975,American,Lacrosse coach,G[136]
Neil Francis Hawkins,1903–1950,British,Fascist politician,G[137]
Sophie B. Hawkins,b. 1967,American,Pop musician,B[138]
Nigel Hawthorne,1929–2001,English,Actor,G[139]
Charles Hawtrey,1914–1988,English,"Actor, comedian",G[140]
Harry Hay,1912–2002,American,LGBT rights activist,G[141]
Andrew Hayden-Smith,b. 1983,English,TV presenter,G[142]
Bruce Hayes,b. 1963,American,Swimmer,G[143]
Darren Hayes,b. 1972,Australian,Pop musician (Savage Garden),G[144]
Sean Hayes,b. 1970,American,Actor,G[145]
Colton Haynes,b. 1988,American,"Actor, model",G[146]
Todd Haynes,b. 1961,American,Film director,G[147]
Hurley Haywood,b. 1948,American,Race car driver,G[148]
Leslye Headland,b. 1980,American,"Playwright, screenwriter, director",L[149]
James Healey,b. ?[5],American,Politician,G[150]
Maura Healey,b. 1971,American,Attorney General,L[151]
Trebor Healey,b. ?[5],American,Writer,G[152]
Jane Heap,1883–1964,American,Publisher,B[153]
Amber Heard,b. 1986,American,Actor,B[154][155]
Anne Heche,b. 1969,American,Actor,B[156]
Wilhelm Heckmann,1897–1995,German,Musician,G[157]
Alexandra Hedison,b. 1969,American,Actor,L[158]
Jayna Hefford,b. 1977,Canadian,Ice hockey player,L[159]
Antony Hegarty,b. 1971,English,Singer-songwriter (Antony and the Johnsons),G[citation needed]
Claudia van den Heiligenberg,b. 1985,Dutch,Footballer,L[160]
John Heilman,b. ?[5],American,Mayor,G[161]
Scott Heim,b. 1966,American,Novelist,G[162]
Alex Heimberg,b. ?[5],American,Drag performer,G[162]
Allan Heinberg,b. 1967,American,Scriptwriter,G[163]
Pekka Heino,b. 1961,Swedish,TV presenter,G[164]
Matt Heinz,b. 1977,American,"Physician, politician",G[165]
Miles Heizer,b. 1994,American,Actor,G[166]
Gert Hekma,b. 1951,Dutch,"Anthropologist, sociologist, writer, professor",G[167]
J. Roy Helland,b. 1943,American,Film makeup artist,G[168]
Jonathan Hellyer,b. ?[5],English,Pop musician (Bronski Beat),G[169]
Mathew Helm,b. 1980,Australian,Diver,G[170]
Robert Helpmann,1909–1986,Australian,"Dancer, actor, theater director, choreographer",G[171]
Robert Helps,1928–2001,American,20th century classical composer and musician,G[172]
R. J. Helton,b. 1981,American,Christian musician,G[173]
Tim Hely-Hutchinson,b. 1953,English,Publisher,G[174]
Essex Hemphill,1957–1995,American,"Poet, activist",G[162]
Hamish Henderson,1919–2002,Scottish,"Poet, songwriter, folk-song collector",B[175]
Barbara Hendricks,b. 1952,German,Politician,L[176]
Michael Hendricks,b. ?[5],American,"Psychologist, suicidologist, LGBT advocate",G[177]
Michael Hendricks,b. ?[5],Canadian,"LGBT rights activist, half of first same-sex marriage in Canada",G[178]
Jorik Hendrickx,b. 1992,Belgian,Figure skater,G[179]
Nona Hendryx,b. 1944,American,"Singer, record producer, songwriter",B[180]
Ivan Heng,b. 1963,Singaporean,"Actor, theater director",G[181]
Mélanie Henique,b. 1992,French,Swimmer,L[182]
Susan Henking,b. 1955,American,"Religious studies scholar, president of Shimer College",L[183]
Gavan Hennigan,b. 1981,Irish,Extreme Environment athlete,G[184]
Bianca Henninger,b. 1990,American-Mexican,Football player,L[185]
Aaron Henry,1922–1977,American,"Civil rights leader, politician",B[186]
Philip Hensher,b. 1965,English,"Author, journalist",G[48]
Hans Werner Henze,1926–2012,German,Composer,G[187]
Alan Herbert,b. ?[5],Canadian,Politician,G[188]
Gilbert Herdt,b. 1949,American,Anthropologist,G[189]
Gregory M. Herek,b. 1954,American,Psychologist,G[190]
Bernd-Ulrich Hergemöller,b. 1950,German,Historian,G[191]
Bettina Herlitzius,b. 1960,German,Politician,L[192]
Yvonne Herløv Andersen,b. 1942,Danish,Politician,B[193]
Isabell Herlovsen,b. 1988,Norwegian,Footballer,L[194]
Jerry Herman,1931–2019,American,Musical theater composer,G[195]
Thomas Hermanns,b. 1963,German,TV personality,G[196]
Kakan Hermansson,b. 1981,Swedish,"TV presenter, radio host",L[197]
Oliver Hermanus,b. 1983,South African,Film director,G[198]
Jaime Humberto Hermosillo,1942–2020,Mexican,Film director,G[199]
Clodovil Hernandes,1937–2009,Brazilian,"Fashion stylist, politician",G[200]
Israel Hernandez,b. ?[5],American,Presidential advisor,G[201]
Joseline Hernandez,b. 1986,American,"Reality TV personality, rapper, actor",B[202]
William Hernandez,b. 1979,American,Reality TV personality,G[203]
Daniel Hernández Jr.,b. ?[5],American,Politician,G[204]
Ty Herndon,b. 1962,American,Country music singer,G[205]
Sighsten Herrgård,1943–1989,Swedish,Fashion designer,G[206]
Fred Hersch,b. 1955,American,Jazz musician,G[207]
Carl Hester,b. 1967,English,Dressage rider,G[208]
Laurel Hester,1956–2006,American,Police officer,L[209]
Ebbe Hertzberg,1847–1912,Norwegian,"Social economist, legal historian, educator",G[210]
Gordon Heuckeroth,b. 1958,Dutch,"Singer, TV personality",G[211]
Ralph Hexter,b. 1952,American,"Academic administrator, scholar",G[212]
Richard A. Heyman,1935–1994,American,Politician,G[213]
Carter Heyward,b. 1945,American,Clergy,L[214]
Michelle Heyman,b. 1988,Australian,Football player,L[215]
Edward Hibbert,b. 1955,American,Actor,G[216]
John Benjamin Hickey,b. 1963,American,Actor,G[217]
René Hicks,b. ?[5],American,Comedian,L[218]
Jacob Hiegentlich,1907–1940,Dutch,Poet,G[219]
Missy Higgins,b. 1983,Australian,Pop musician,B[220]
René Highway,1954–1990,Canadian,Dancer,L[221]
Jennifer Higdon,b. 1962,American,Contemporary classical composer and musician,L[102]
Abraham Higginbotham,b. ?,American,Screenwriter,G[222]
Patricia Highsmith,1921–1995,American,Writer,B[223]
Marta Higueras,born 1964,Spanish,"Criminologist, politician",L[224]
Brianna Hildebrand,b. 1996,American,Actor,L[225]
Steve Hildebrand,b. ?[5],American,Democratic strategist,G[226]
Jane Hill,b. 1969,English,Newsreader,L[227]
Jimmy Hill,b. 1989,English,"Radio, TV, and Internet personality",G[228][229][230]
Kurt Hiller,1885–1972,German,"Essayist, journalist, acitivist",G[231]
Perez Hilton,b. 1978,American,Celebrity gossip blogger,G[232]
Nikki Hiltz,b. 1994,American,Middle-distance runner,L[233]
Phillip Hinkle,b. 1946,American,Politician,B[234][235]
Jon Hinson,1942–1995,American,Politician,G[236]
Fredy Hirsch,1916–1944,German,"Teacher, sportsman, helper of Jewish children during World War II",G[237]
Lora Hirschberg,b. 1963,American,Sound engineer,L[238]
Magnus Hirschfeld,1868–1935,German,"Doctor, LGBT rights activist",G[239]
Axel Hirsoux,b. 1982,Belgian,Pop singer,G[240]
Keegan Hirst,b. 1988,English,1st openly gay British professional rugby player,G[241]
Hisham II,966–1013,Umayyad Dynasty,Umayyad Caliph of Spain,G[242]
George Hislop,1927–2005,Canadian,Gay rights activist,G[243]
Charles Hitchen,1675–1727,English,Thief-taker,G[244]
Christopher Hitchens,1949–2011,English-American,"Author, orator, religious, social, and literary critic and journalist",B[245]
Thomas Hitzlsperger,b. 1982,German,Football player,G[246]
Bjarte Hjelmeland,b. 1970,Norwegian,"Actor, musician",G[247]
Denise Ho,b. 1977,Hong Kong,Pop singer,L[248]
Simon Hobart,1964–2005,English,Nightclub owner,G[249]
Hannah Höch,1889–1978,German,Artist,B[250]
David Hockney,b. 1937,English,Artist,G[48]
Guy Hocquenghem,1946–1988,French,Philosopher,G[251]
Gunvor Hofmo,1921–1995,Norwegian,Poet,G[252]
Kate Hogan,b. 1957,American,Politician,L[253]
Richèl Hogenkamp,b. 1992,Dutch,Tennis player,L[254]
Lee Hoiby,1926–2011,American,Composer,G[172]
Kinmont Hoitsma,1934–2013,American,Fencer,G[255]
Pentti Holappa,1927–2017,Finnish,"Poet, writer, translator, politician",G[256]
Chamique Holdsclaw,b. 1977,American,Basketball player,L[257]
Billie Holiday,1915–1959,American,"Jazz singer, songwriter",B[258][259]
Tony Holiday,1951–1990,German,Pop singer,G[260]
Ursula Holl,b. 1981,German,Footballer,L[261]
Holland,b. 1996,South Korean,Singer; 1st openly gay K-pop idol,G[262]
Todd Holland,b. 1961,American,Film and TV director/producer,G[263]
Xaviera Hollander,b. 1943,American,"Writer, Madam",B[264]
Andrew Holleran,b. 1944,American,Writer,G[162]
Tess Holliday,b. 1985,American,"Model, activist, make-up artist",B[265]
Alan Hollinghurst,b. 1954,English,Author,G[48]
Ulf Holm,b. 1969,Swedish,Politician,G[266]
Antti Holma,b. 1982,Finnish,"Author, actor",G[267]
Dave Holmes,b. 1971,American,"Writer, producer, TV personality",G[268]
John Wendell Holmes,1910–1988,Canadian,"Diplomat, academic",G[269]
Shelley Holroyd,b. 1973,English,Javelin thrower,L[270]
Erika Holst,b. 1979,Swedish,Ice hockey player,L[271]
Johannes Holzmann (AKA Senna Hoy),(1882–1914),German,"Anarchist author, activist",G[272]
A.M. Homes,b. 1961,American,Writer,B[273]
Honey G (rapper),b. 1981,English,Rapper,L[274]
Hong Seok-cheon,b. 1971,South Korean,Actor,G[275]
Pirjo Honkasalo,b. 1947,Finnish,Filmmaker,L[276]
Philippe Honoré,b. 1967,French,Classical musician,G[277]
J. Edgar Hoover,1895–1972,American,Law enforcement administrator and the 1st Director of the Federal Bureau of Investigation (FBI) of the United States,G[278]
Nalo Hopkinson,b. 1960,Jamaican-Canadian,Writer,L[279]
Horace,65–8 BC,Roman,Lyric poet,B[280]
James Hormel,b. 1933,American,Former United States ambassador to Luxembourg,G[281]
Roy Horn,1944–2020,German-American,"Magician, entertainer",G[282][283]
Anders Hornslien,b. 1970,Norwegian,"Politician, TV presenter",G[284]
Nitzan Horowitz,b. 1965,Israeli,"Journalist, politician",G[285]
Vladimir Horowitz,1902–1989,Russian,Pianist,G[286]
Horse,b. 1958,Scottish,Singer-songwriter,L[117]
Horst P. Horst,1906–1999,German,Photographer,G[287]
Silvio Horta,1974–2020,American,"Screenwriter, producer",G[288]
Craig Revel Horwood,b. 1965,Australian,"Dancer, choreographer, TV personality",B[289]
Elmyr de Hory,1906–1976,Hungarian,"Artist, art forger",G[290]
Basil Hoskins,1929–2005,English,Actor,G[291]
Stephen Hough,b. 1961,English-Australian,"Composer, pianist",G[292]
A. E. Housman,1859–1936,English,Poet,G[293]
Laurence Housman,1865–1959,English,Playwright,G[294]
Robert Houston,b. 1955,American,"Actor, director",G[295]
Ivo van Hove,b. 1958,Belgian,"Theater director, producer",G[296]
Brenda Howard,1946–2005,American,Activist,B[297]
Byron Howard,b. 1968,American,"Film director, animator",G[298]
Charlie Howard,1961–1984,American,Murder victim,G[299]
Michael Howard,1922–2019,English,Military historian,G[300]
James Howe,b. 1946,American,Children's author,G[301]
Daniel Howell,b. 1991,English,YouTuber,G[302]
Frankie Howerd,1917–1992,English,Comedian,G[303]
Bent Høie,b. 1971,Norwegian,Politician,G[304]
David Hoyle,b. 1962,English,Performance artist,G[305]
Brad Hoylman,b. 1965,American,Politician,G[306]
Jamie Hubley,1995–2011,Canadian,Youth who committed suicide due to anti-gay bullying,G[307]
Angela Hucles,b. 1978,American,Soccer player,L[308]
Rock Hudson,1925–1985,American,Actor,G[309]
Waymon Hudson,b. 1979,American,"LGBT activist, writer",G[310]
David Huebner,b. 1960,American,Diplomat,G[311]
Tanya Huff,b. 1957,Canadian,Writer,L[312]
Michael Huffington,b. 1947,American,"Politician, activist",B[313]
Huffty,b. ?[5],English,TV presenter,L[314]
Sarah Huffman,b. 1984,American,Soccer player,L[315]
Chris Hughes,b. 1983,American,"Entrepreneur, co-founder of Facebook",G[316]
Gareth Hughes,1894–1965,Welsh,Actor,G[317]
Langston Hughes,1902–1967,American,Writer,G[318]
Simon Hughes,b. 1951,English,Politician,B[319]
Todd M. Hughes,b. 1966,American,Judge of the U.S. Circuit Court,G[320]
Tom Hugo,b. 1979,Norwegian,"Singer-songwriter, musician (KEiiNO)",G[321]
Marianne Huguenin,b. 1950,Swiss,Politician,L[322]
Emperor Hui of Han,210–188 BCE,Chinese (Han Dynasty),Head of state,B[323]
Coos Huijsen,b. 1939,Dutch,"Politician, historian, author",G[324]
Tom Hulce,b. 1953,American,Actor,G[325]
Karen Hultzer,b. 1956,South African,Archer,L[326]
Alexander von Humboldt,1769–1859,Prussian,"Polymath, geographer, naturalist, explorer",G[327]
Jim Humes,b. ?[5],American,Judge of the California Court of Appeals,G[328]
Laud Humphreys,1930–1988,American,"Sociologist, writer, priest",G[329]
Mia Hundvin,b. 1977,Norwegian,Handball player,B[330]
Kit Hung,b. 1977,Hong Kong,Filmmaker,G[331]
Jerry Hunt,1943–1993,American,20th century classical composer,G[172]
J. Timothy Hunt,b. 1955,American,Journalist and writer,G[332]
Linda Hunt,b. 1945,American,Actor,L[333]
Richard Hunt,1951–1992,American,Puppeteer,G[334]
Ruth Hunt,b. 1945,Welsh,"Chief executive of Stonewall, politician",L[335]
Ben Hunte,b. 1991,English,"Correspondent, journalist, TV presenter",G[336]
Alberta Hunter,1895–1984,American,Blues musician,B[337]
Dennis Hunter,b. ?[5],American,Writer,G[162]
Ian Hunter,b. 1960,Australian,Politician,G[338]
Ross Hunter,1926–1996,American,"Film and TV producer, actor",G[339]
Tab Hunter,1931–2018,American,Actor,G[340]
Mark Michael Hutchinson,b. ?[5],American,Actor,G[341]
Huo Guang,d. 68 BCE,Chinese (Han Dynasty),Statesman,B[342]
Maarten Hurkmans,b. 1997,Dutch,Rower,B[343]
Leslie Hutchinson,1900–1969,Grenadian,Musician,B[344]
William Hutt,1920–2007,Canadian,Actor,G[345]
Kate Hutton,b. ?[5],American,Seismologist,L[346]
Hyegong of Silla,758–780,Korean,King of Silla,G[347]
Chris Hyndman,1966–2015,Canadian,"Interior designer, TV personality",G[348]
Garry Hynes,b. 1953,Irish,Theater director,L[349]
Diego Hypólito,b. 1986,Brazilian,Gymnast,G[350]
Anton Hysén,b. 1990,Swedish,Footballer,G[351]
Nicholas Hytner,b. 1956,English,Stage and screen director,G[352]
Janet Aalfs,b. 1956,American,"Martial artist, poet",L[7]
Saara Aalto,b. 1987,Finnish,Pop singer,L[8]
William Aalto,1915–1958,American,"Writer, soldier",G[9]
Leroy F. Aarons,1933–2004,American,Journalist,G[10]
Anne Aasheim,1962–2016,Norwegian,"Journalist, editor",L[11]
Louise Abbéma,1853–1927,French,"Painter, designer",L[12]
Berenice Abbott,1898–1991,American,Photographer,L[13]
Reza Abdoh,1963–1995,Iranian-American,"Theater director, playwright",G[14]
Daayiee Abdullah,b. 1954,American,"Imam, Muslim activist",G[15]
Henry D. Abelove,b. ?[5],American,"Academic, literary scholar",G[16]
Helena Åberg,b. 1971,Swedish,Freestyle swimmer,L[17]
Joseph Friedrich Abert,1879–1959,German,"Historian, archivist",G[18]
Paula Aboud,b. 1950,American,"Politician, activist",L[19]
Caio Fernando Abreu,1948–1996,Brazilian,Writer,G[20]
Kevin Abstract,b. 1996,American,Rapper (Brockhampton),G[21]
Boy Abunda,b. 1955,Filipino,Journalist,G[22]
Zackie Achmat,b. 1962,South African,LGBT and AIDS activist,G[23]
Roberta Achtenberg,b. 1950,American,Politician,L[24]
Marc Acito,b. 1966,American,Author,G[25]
Jean Acker,1893–1978,American,"Actor, wife of actor Rudolph Valentino",L[26]
Kathy Acker,1949–1997,American,"Writer, feminist",B[27]
J. R. Ackerley,1896–1967,English,"Writer, arts editor of The Listener",G[28]
Graham Ackerman,b. 1983,American,Gymnast,G[29]
Peter Ackroyd,b. 1949,English,"Biographer, novelist, critic",G[30]
Mercedes de Acosta,1893–1968,American,"Writer, socialite",L[31]
Harold Acton,1904–1994,British,"Art writer, aesthete",G[32]
Gilbert Adair,1944–2011,Scottish,"Novelist, poet, film critic, journalist",G[33]
Peter Adair,1943–1996,American,"Filmmaker, artist",G[34]
Barry D. Adam,b. 1952,Canadian,Sociologist,G[35]
Margie Adam,b. 1947,American,"Composer, women's music performer",L[36]
Katarzyna Adamik,b. 1972,Polish,Film director,L[37]
Mark Adamo,b. 1962,American,Classical music composer,G[38]
John Bodkin Adams,1899–1983,Northern Irish,"Doctor, suspected serial killer",G[39]
Maude Adams,1872–1953,American,Actor,L[40]
Nicola Adams,b. 1982,English,Boxer,B[41]
Sam Adams,b. 1963,American,"First openly gay Portland, Oregon City Council member, first openly gay mayor of a major US city (Portland)",G[42]
Jane Addams,1860–1935,American,"Social reformer, Nobel prize winner",L[43]
Gaye Adegbalola,b. 1944,American,Blues musician,B[44]
Jacques d'Adelswärd-Fersen,1880–1923,French,"Aristocrat, writer",G[45]
Amal Aden,b. 1983,Somali-Norwegian,"Author, lecturer, lesbian activist",L[46]
Thomas Adès,b. 1971,English,Composer,G[47]
Allison Adler,b. 1967,American,"TV writer, producer",L[48]
Jonathan Adler,b. 1966,American,Interior designer,G[49]
Etel Adnan,b. 1925,Lebanese-American,"Poet, artist",L[50]
Adolfo,b. 1933,Cuban-American,Fashion designer,G[51]
James Adomian,b. 1980,American,"Actor, comedian",G[52]
Andrew Adonis,b. 1963,British,Politician,G[53]
Adrian,1903–1959,American,Costume designer,G[54]
Gösta Adrian-Nilsson,1884–1965,Swedish,"Artist, writer",G[55]
Sharon Afek,b. 1970,Israeli,"Military general, lawyer",G[56]
Agathon,c. 448–c. 400 BC,Athenian,Tragic poet,G[57]
Patience Agbabi,b. 1965,British,"Poet, performer",B[58]
Ray Aghayan,1928–2011,Iranian,Fashion designer,G[59]
Gabriel Aghion,b. 1955,French,"Film director, screenwriter",G[60]
Marilyn Agliotti,b. 1979,Dutch,Field hockey player,L[61]
Faustina Agolley,b. 1984,Australian,TV presenter,L[62]
Dominic Agostino,1959–2004,Canadian,Politician,G[63]
Jessica Aguilar,b. 1982,Mexican-American,Mixed martial artist,L[64]
Laura Aguilar,1959–2018,American,Photographer,L[65]
Roberto Aguirre-Sacasa,b. 1971,American,"Playwright, writer for Marvel Comics",G[66]
Tommy Ahlers,b. 1975,Danish,Politician,B[67]
Andrew Ahn,b. ?[5],American,Filmmaker,G[68]
Michelle-Lee Ahye,b. 1992,Trinidadian,Sprint athlete,L[69]
Emperor Ai of Han,27–1 BC,Chinese (Han Dynasty),Head of state,G[70]
Clay Aiken,b. 1978,American,"Singer, songwriter",G[71]
Alvin Ailey,1931–1989,American,"Dancer, choreographer",G[72]
Jean-Jacques Aillagon,b. 1946,French,Politician,G[73]
Dawn Airey,b. 1960,English,TV executive,L[74]
Will Aitken,b. ?[5],Canadian,Writer,G[75]
Ajamu X,b. 1963,British,Artist,G[76]
Chantal Akerman,1950–2015,Belgian,Filmmaker,L[77]
Michael Akers,b. 1970,American,Filmmaker,G[78]
Richard Akuson,b. 1993,Nigerian,"Lawyer, LGBTQ rights activist, essayist, editor, magazine founder",G[79]
Kamal Al-Solaylee,b. 1964,Canadian,"Journalist, writer",G[80]
Faisal Alam,b. 1977,American,LGBT Muslim rights activist,G[81]
Rabih Alameddine,b. 1959,Lebanese-American,Painter and writer,G[82]
Francisco X. Alarcón,1954–2016,American,"Poet, educator",G[83]
Rolando Alarcón,1929–1973,Chilean,"Folk musician, composer",G[84]
Leopoldo Alas Mínguez,1962–2008,Spanish,"Author, poet",G[85]
Edward Albee,1928–2016,American,Playwright,G[86]
Matt Alber,b. 1978,American,"Singer, songwriter",G[87]
Niki Albon,b. 1992,English,"YouTube personality, radio presenter, digital creator",G[88]
Pablo Alborán,b. 1989,Spanish,"Singer, songwriter, musician",G[89]
Alcibiades,c. 450–404 BC,Greek (Athenian),"Statesman, orator, military general",G[90]
John Alcorn,b. ?[5],Canadian,Jazz musician,G[91]
